symbol,m1_rows,duplicates,commands,first_touches_invalidated,trades,skipped_no_result,gaps
AMZN_otc,21585,0,4867,2561,1007,0,10
APPLE_otc,12700,0,1611,902,318,0,0
AUDJPY_otc,12700,0,2253,1348,315,0,0
AUDUSD_otc,12700,0,2385,1429,331,0,0
AVAX_otc,21584,0,3833,2040,809,2,10
BITCOIN_otc,12700,0,1687,931,332,0,0
CADJPY_otc,21582,0,6175,3645,917,0,10
CHFJPY_otc,21582,0,6272,3658,978,0,10
COKE_otc,21582,0,3946,2169,789,0,10
DISNEY_otc,12711,0,1814,973,382,0,0
DOGE_otc,5519,0,414,249,71,0,0
ETHEREUM_otc,21583,0,3912,2098,828,0,10
EURCAD_otc,21585,0,6227,3582,998,1,10
EURCHF_otc,21585,0,6254,3696,968,0,10
EURGBP_otc,12699,0,2330,1404,301,0,0
EURJPY_otc,21584,0,6358,3774,943,0,10
EURNZD_otc,21584,0,6279,3669,947,0,10
FORD_otc,21593,0,3894,2133,809,0,4
GBPCAD_otc,21583,0,6443,3784,974,0,10
GBPNZD_otc,21584,0,6364,3733,977,1,10
GOLD_otc,21584,0,3970,2072,864,0,10
IBM_otc,12701,0,1845,999,354,0,0
INTEL_otc,21591,0,3772,2034,786,0,5
LINK_otc,21584,0,4195,2255,864,1,10
MASTERCARD_otc,21589,0,3370,1834,661,0,6
META_otc,12700,0,1846,1027,361,0,0
MICROSOFT_otc,21582,0,4093,2144,910,1,10
NETFLIX_otc,21582,0,4121,2133,866,0,10
NIKE_otc,21582,0,4078,2215,872,1,10
NVIDIA_otc,21582,0,4109,2171,874,0,10
NZDJPY_otc,21582,0,6477,3739,1024,0,10
PAYPAL_otc,21586,0,3462,1843,684,0,7
PETROLEO_otc,21581,0,4083,2170,862,1,10
PRATA_otc,21581,0,4071,2208,823,1,10
SHIBA_otc,21581,0,4042,2132,898,0,10
SOLANA_otc,12701,0,2216,1248,455,0,0
SPACEX_otc,21581,0,4204,2239,920,3,10
SPOTIFY_otc,21353,0,3291,1727,690,0,2
STARBUCKS_otc,21581,0,4044,2150,885,0,10
SUI_otc,21582,0,4079,2150,867,1,10
TESLA_otc,5483,0,471,273,88,0,0
VISA_otc,21584,0,3433,1812,717,0,8
XPL_otc,5498,0,502,292,81,0,0
