symbol,m1_rows,duplicates,m15_complete,commands,first_touches_invalidated,trades,skipped_no_result,gaps
AMZN_otc,21585,0,1432,71,19,10,0,10
APPLE_otc,12700,0,846,19,9,2,1,0
AUDJPY_otc,12700,0,846,31,11,4,0,0
AUDUSD_otc,12700,0,846,29,4,4,0,0
AVAX_otc,21584,0,1432,65,16,4,0,10
BITCOIN_otc,12700,0,846,11,4,2,0,0
CADJPY_otc,21582,0,1432,88,23,7,0,10
CHFJPY_otc,21582,0,1432,95,27,11,0,10
COKE_otc,21582,0,1432,65,23,8,0,10
DISNEY_otc,12711,0,847,21,5,3,0,0
DOGE_otc,5519,0,367,2,0,1,0,0
ETHEREUM_otc,21583,0,1432,84,22,11,0,10
EURCAD_otc,21585,0,1432,87,17,6,0,10
EURCHF_otc,21585,0,1432,88,24,11,0,10
EURGBP_otc,12699,0,846,28,8,1,0,0
EURJPY_otc,21584,0,1432,102,32,10,0,10
EURNZD_otc,21584,0,1432,78,23,4,0,10
FORD_otc,21593,0,1435,65,14,3,0,4
GBPCAD_otc,21583,0,1432,81,20,6,0,10
GBPNZD_otc,21584,0,1432,78,26,9,0,10
GOLD_otc,21584,0,1432,59,16,6,0,10
IBM_otc,12701,0,846,23,5,3,0,0
INTEL_otc,21591,0,1434,62,20,7,0,5
LINK_otc,21584,0,1432,63,14,10,0,10
MASTERCARD_otc,21589,0,1434,40,11,4,0,6
META_otc,12700,0,846,21,5,2,0,0
MICROSOFT_otc,21582,0,1432,62,17,4,0,10
NETFLIX_otc,21582,0,1432,62,16,6,0,10
NIKE_otc,21582,0,1432,57,10,9,0,10
NVIDIA_otc,21582,0,1432,64,18,5,0,10
NZDJPY_otc,21582,0,1432,74,26,8,0,10
PAYPAL_otc,21586,0,1433,54,18,5,0,7
PETROLEO_otc,21581,0,1432,60,17,5,0,10
PRATA_otc,21581,0,1432,60,13,7,0,10
SHIBA_otc,21581,0,1432,66,15,9,0,10
SOLANA_otc,12701,0,846,27,6,5,0,0
SPACEX_otc,21581,0,1432,66,12,10,0,10
SPOTIFY_otc,21353,0,1421,46,9,5,0,2
STARBUCKS_otc,21581,0,1432,47,12,4,0,10
SUI_otc,21582,0,1432,53,8,10,0,10
TESLA_otc,5483,0,365,2,1,0,0,0
VISA_otc,21584,0,1433,57,13,9,0,8
XPL_otc,5498,0,366,4,1,0,0,0
