symbol,m1_rows,m5_complete,commands,trades,skipped_no_result,gaps
AMZN_otc,21585,4309,396,70,0,10
APPLE_otc,12700,2539,137,27,1,0
AUDJPY_otc,12700,2539,166,26,0,0
AUDUSD_otc,12700,2539,170,25,0,0
AVAX_otc,21584,4309,343,59,0,10
BITCOIN_otc,12700,2539,114,25,0,0
CADJPY_otc,21582,4308,492,78,0,10
CHFJPY_otc,21582,4308,507,83,0,10
COKE_otc,21582,4308,339,55,0,10
DISNEY_otc,12711,2541,143,29,0,0
DOGE_otc,5519,1103,20,3,0,0
ETHEREUM_otc,21583,4308,345,57,0,10
EURCAD_otc,21585,4309,475,71,1,10
EURCHF_otc,21585,4309,511,85,0,10
EURGBP_otc,12699,2539,172,28,0,0
EURJPY_otc,21584,4309,524,73,0,10
EURNZD_otc,21584,4309,451,70,0,10
FORD_otc,21593,4315,324,56,0,4
GBPCAD_otc,21583,4309,511,79,0,10
GBPNZD_otc,21584,4309,473,82,0,10
GOLD_otc,21584,4309,332,64,0,10
IBM_otc,12701,2539,152,27,0,0
INTEL_otc,21591,4314,317,54,0,5
LINK_otc,21584,4309,337,71,0,10
MASTERCARD_otc,21589,4313,291,52,0,6
META_otc,12700,2539,163,31,0,0
MICROSOFT_otc,21582,4308,341,67,0,10
NETFLIX_otc,21582,4308,373,74,0,10
NIKE_otc,21582,4308,358,71,1,10
NVIDIA_otc,21582,4308,342,64,0,10
NZDJPY_otc,21582,4308,490,75,0,10
PAYPAL_otc,21586,4312,286,45,0,7
PETROLEO_otc,21581,4307,331,56,0,10
PRATA_otc,21581,4307,372,70,0,10
SHIBA_otc,21581,4307,373,76,0,10
SOLANA_otc,12701,2539,155,31,0,0
SPACEX_otc,21581,4307,343,70,0,10
SPOTIFY_otc,21353,4268,294,63,0,2
STARBUCKS_otc,21581,4307,318,56,0,10
SUI_otc,21582,4308,359,63,0,10
TESLA_otc,5483,1095,33,9,0,0
VISA_otc,21584,4310,303,48,0,8
XPL_otc,5498,1098,32,4,0,0
